date,title,url,is_price_related,preprocessed_title,positive_sentiment,negative_sentiment,neutral_sentiment,rise_present,increase_present,jump_present,surge_present,climb_present,fall_present,drop_present,decrease_present,decline_present,plunge_present,weighted_positive_sentiment,weighted_negative_sentiment,predicted_price_direction
2025-02-28,"National Coffee Association to Honor Root Capitol, Allan Colley and Kyle Bawot",https://dailycoffeenews.com/2025/02/28/national-coffee-association-to-honor-root-capitol-allan-colley-and-kyle-bawot/,True,national coffee association honor root capitol allan colley kyle bawot,0.262,0.0,0.738,0,0,0,0,0,0,0,0,0,0,0.262,0.0,neutral
2025-02-28,Weekly Coffee News: Biofuels for Coffee Cargo + CQI Head on the $4 Market,https://dailycoffeenews.com/2025/02/28/weekly-coffee-news-biofuels-for-coffee-cargo-cqi-head-on-the-4-market/,True,weekly coffee news biofuels coffee cargo cqi head 4 market,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-27,Slow Pour Supply Hosting Origami Cup USA Ahead of SCA Expo in Houston,https://dailycoffeenews.com/2025/02/27/slow-pour-supply-hosting-origami-cup-usa-ahead-of-sca-expo-in-houston/,True,slow pour supply hosting origami cup usa ahead sca expo houston,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-27,"In Cleveland, Peristyle Coffee Wants to Be a Pillar of Quality",https://dailycoffeenews.com/2025/02/27/in-cleveland-peristyle-coffee-wants-to-be-a-pillar-of-quality/,True,cleveland peristyle coffee wants pillar quality,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-25,Chinese Coffees Triumph at the Masterpiece Coffee Pop-Up in Berkeley,https://dailycoffeenews.com/2025/02/25/chinese-coffees-triumph-at-the-masterpiece-coffee-pop-up-in-berkeley/,True,chinese coffees triumph masterpiece coffee popup berkeley,0.59,0.0,0.41,0,0,0,0,0,0,0,0,0,0,0.59,0.0,neutral
2025-02-25,Coffee Science Foundation and Ohio State to Study How Consumers Value Coffee,https://dailycoffeenews.com/2025/02/25/coffee-science-foundation-and-ohio-state-to-study-how-consumers-value-coffee/,True,coffee science foundation ohio state study consumers value coffee,0.231,0.0,0.769,0,0,0,0,0,0,0,0,0,0,0.231,0.0,neutral
2025-02-24,"Starbucks Coffee is Laying Off 1,100 Corporate Employees",https://dailycoffeenews.com/2025/02/24/starbucks-coffee-is-laying-off-1100-corporate-employees/,True,starbucks coffee laying 1100 corporate employees,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-24,"Northshore Specialty Coffee Surges in Jackson, Mississippi",https://dailycoffeenews.com/2025/02/24/northshore-specialty-coffee-surges-in-jackson-mississippi/,True,northshore specialty coffee surges jackson mississippi,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-21,Coffee Roasters Are (or Should Be) Raising Prices. Here’s Some Advice on How,https://dailycoffeenews.com/2025/02/21/coffee-roasters-are-or-should-be-raising-prices-heres-some-advice-on-how/,True,coffee roasters raising prices heres advice,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-21,Weekly Coffee News: Climate Changing Cocoa + IWCA Updates,https://dailycoffeenews.com/2025/02/21/weekly-coffee-news-climate-changing-cocoa-iwca-updates/,True,weekly coffee news climate changing cocoa iwca updates,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-20,Cloud Cover Coffee Billows Into Downtown Buffalo,https://dailycoffeenews.com/2025/02/20/cloud-cover-coffee-billows-into-downtown-buffalo/,True,cloud cover coffee billows downtown buffalo,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-20,Coffee Bean Taps Past Taco Bell and Starbucks Exec Tara Hinkle as Head of Americas,https://dailycoffeenews.com/2025/02/20/coffee-bean-taps-past-taco-bell-and-starbucks-exec-tara-hinkle-as-head-of-americas/,True,coffee bean taps past taco bell starbucks exec tara hinkle head americas,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-19,Dairy Farmers of America (DFA) Sues Westrock Coffee Over Trade Secrets,https://dailycoffeenews.com/2025/02/19/dairy-farmers-of-america-dfa-sues-westrock-coffee-over-trade-secrets/,True,dairy farmers america dfa sues westrock coffee trade secrets,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,fall
2025-02-19,"With Franchising, Reborn Coffee Gets Commitments for 30 New US Locations",https://dailycoffeenews.com/2025/02/19/with-franchising-reborn-coffee-gets-commitments-for-30-new-us-locations/,True,franchising reborn coffee gets commitments 30 new us locations,0.158,0.0,0.842,0,0,0,0,0,0,0,0,0,0,0.158,0.0,neutral
2025-02-19,Intelligentsia Coffee Thinks Big at New Chicago Roastery,https://dailycoffeenews.com/2025/02/19/intelligentsia-coffee-thinks-big-at-new-chicago-roastery/,True,intelligentsia coffee thinks big new chicago roastery,0.294,0.0,0.706,0,0,0,0,0,0,0,0,0,0,0.294,0.0,neutral
2025-02-18,The 2024 Specialty Coffee Transaction Guide is Here,https://dailycoffeenews.com/2025/02/18/the-2024-specialty-coffee-transaction-guide-is-here/,True,2024 specialty coffee transaction guide,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-18,Burnside Coffee Boldly Goes Cold in Downtown Sacramento,https://dailycoffeenews.com/2025/02/18/burnside-coffee-boldly-goes-cold-in-downtown-sacramento/,True,burnside coffee boldly goes cold downtown sacramento,0.294,0.0,0.706,0,0,0,0,0,0,0,0,0,0,0.294,0.0,neutral
2025-02-17,Coffee Cycle Rolls Into San Diego’s Ocean Beach,https://dailycoffeenews.com/2025/02/17/coffee-cycle-rolls-into-san-diegos-ocean-beach/,True,coffee cycle rolls san diegos ocean beach,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-17,Akron Coffee Roasters Openly Experiments at the ‘Coffee Lab’,https://dailycoffeenews.com/2025/02/17/akron-coffee-roasters-openly-experiments-at-the-coffee-lab/,True,akron coffee roasters openly experiments coffee lab,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
2025-02-14,Weekly Coffee News: Let’s Talk Coffee in Peru + Hawaii Competition Judges Sought,https://dailycoffeenews.com/2025/02/14/weekly-coffee-news-lets-talk-coffee-in-peru-hawaii-competition-judges-sought/,True,weekly coffee news lets talk coffee peru hawaii competition judges sought,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,neutral
